year,kode urusan,urusan,skpd/ukpd,prorgram,kegiatan,dpa
2013,1.20,"OTONOMI DAERAH, PEMERINTA",BIRO ORGANISASI Dan TATA LAKSANA,Program penataan kelembagaan dan ketatalaksanaan,Penyusunan Pedoman Standar Pelayanan (SP),"112,500,000"
2013,1.07,PERHUBUNGAN,Sudin Perhubungan - JAKSEL,"Program sinkronisasi kebijakan pembiayaan, kelembagaan dan regulasi Perhubungan",Pengadaan Alat Tulis Kantor (ATK) Sudin Perhubungan Jakarta Selatan,"50,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Remaja Jakarta Timur,Program Peningkatan Sarana Prasarana Pemuda dan Olahraga,Penggantian Parkit Gelanggang Remaja Kecamatan Duren Sawit,"175,000,000"
2013,1.17,KEBUDAYAAN,Sudin Kebudayaan - JAKPUS,3. Program pengelolaan keragaman budaya,Atraksi dan Pagelaran Budaya Betawi,"250,000,000"
2013,1.05,PENATAAN RUANG,Sudin Tata Ruang dan Pertanahan  - Kep.Seribu,peningkatan sarana dan prasarana Penataan Ruang,Pengadaan Perlengkapan Penunjang Kegiatan Survey Ukur,"50,000,000"
2013,1.08,LINGKUNGAN HIDUP,Sudin Pemakaman - JAKPUS,Program penerapan kaidah good governance dalam penyelenggaraan urusan Lingkungan Hidup,Penyediaan Alat Tulis Kantor,"37,500,000"
2013,1.24,KEARSIPAN,Kantor Perpustakaan Dan Arsip Daerah - JAKPUS,Program peningkatan pelayanan arsip daerah,BINTEK Kearsipan Dinamis untuk SKPD/UKPD,"52,000,000"
2013,1.17,KEBUDAYAAN,Museum Wayang,1. Program Penerapan Prinsip Good Governance Dalam Penyelenggaraan Urusan Kebudayaan,Pengadaan Alat Tulis Kantor,"50,000,000"
2013,1.18,PEMUDA DAN OLAHRAGA,Gelanggang Olahraga Ragunan,Program Pembinaan dan Pemasyarakatan Olahraga,Kejuaraan Sepakbola antar Pemakai Gelanggang Olahraga Ragunan,"100,000,000"
2013,1.02,KESEHATAN,BLUD Puskesmas Kec. Senen - JAKPUS,Program pencegahan penyakit tidak menular,Penatalaksanaan penyakit tidak menular,"320,219,100"
