year,skpd,name,dpa
2013,DINAS KEBERSIHAN,Tunjangan Keluarga,"5,487,549,823"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Tunjangan Jabatan,"648,794,250"
2013,SATPOL PP,Tunjangan Khusus (PPh)/Tunjangan PPh,"31,815,980,208"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Tunjangan Keluarga,"3,466,522,231"
2013,BLUD RS Tarakan,Tunjangan Keluarga,"807,853,331"
2013,BLUD RS Pasar Rebo,Tunjangan Jabatan,"138,913,125"
2013,"DINAS KOMUNIKASI, INFORMATIKA Dan KEHUMASAN",Gaji Pokok,"12,022,712,066"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Tunjangan Khusus (PPh)/Tunjangan PPh,"3,996,823,099"
2013,DINAS KELAUTAN DAN PERTANIAN,Tunjangan Keluarga,"5,509,159,346"
2013,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN",Tunjangan Umum,"868,123,750"
2013,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN",Tunjangan Keluarga,"1,916,577,353"
2013,BLUD RS Pasar Rebo,Tunjangan Beras,"427,652,664"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Jabatan,"881,675,275"
2013,DINAS PEKERJAAN UMUM,Gaji Pokok,"41,472,305,248"
2013,Kota Administrasi Jakarta Selatan,Gaji Pokok,"49,468,173,083"
2013,BLUD RS Koja,Tunjangan Beras,"533,079,420"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Tunjangan Kinerja,"7,419,079,354"
2013,DINAS KESEHATAN,Tunjangan Keluarga,"16,901,119,670"
2013,DINAS PERINDUSTRIAN Dan ENERGI,Tunjangan Umum,"628,007,250"
2013,SEKRETARIAT DPRD,Tunjangan Beras,"396,683,160"
2013,BADAN PENGELOLA LINGKUNGAN HIDUP DAERAH,Pembulatan Gaji,"207,580"
2013,Kota Administrasi Jakarta Barat,Tunjangan Kinerja,"68,133,629,833"
2013,Badan Penanggulangan Bencana Daerah,Pembulatan Gaji,"16,529"
2013,DINAS TENAGA KERJA Dan TRANSMIGRASI,Tunjangan Umum,"1,099,512,375"
2013,SEKRETARIAT DAERAH,Tunjangan Kinerja,"56,486,402,559"
2013,SATPOL PP,Tunjangan Keluarga,"13,250,827,948"
2013,BADAN KEPEGAWAIAN DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"3,934,577,575"
2013,DINAS PENGAWASAN DAN PENERTIBAN BANGUNAN,Tunjangan Beras,"1,160,382,300"
2013,Badan Penanggulangan Bencana Daerah,Tunjangan Umum,"2,465,125"
2013,DPRD Provinsi,Uang Duka Wafat / Tewas ,"86,000,000"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Tunjangan Umum,"518,942,125"
2013,BADAN PERPUSTAKAAN DAN ARSIP DAERAH,Tunjangan Keluarga,"1,025,956,784"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Pembulatan Gaji,"2,553,143"
2013,BLUD RS Budhi Asih,Tunjangan Jabatan,"138,913,125"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Tunjangan Kinerja,"46,231,069,844"
2013,BADAN PENANAMAN MODAL Dan PROMOSI,Tunjangan Keluarga,"313,122,134"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Beras,"202,191,180"
2013,DINAS PELAYANAN PAJAK,Tunjangan Keluarga,"4,182,700,653"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Fungsional,"1,705,666,625"
2013,DINAS KEBERSIHAN,Pembulatan Gaji,"845,457"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Tunjangan Jabatan,"499,021,250"
2013,INSPEKTORAT,Tunjangan Jabatan,"593,628,750"
2013,BADAN PERENCANAAN PEMBANGUNAN DAERAH,Tunjangan Fungsional,"116,647,050"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Tunjangan Fungsional,"3,531,125"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Kinerja,"156,545,723,192"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Tunjangan Umum,"195,744,250"
2013,DINAS PENDIDIKAN,Tunjangan Kinerja,"1,975,013,222,466"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Keluarga,"362,654,311"
2013,Kota Administrasi Jakarta Timur,Tunjangan Khusus (PPh)/Tunjangan PPh,"21,666,436,679"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Gaji Pokok,"4,017,362,192"
2013,BADAN KEPEGAWAIAN DAERAH,Tunjangan Jabatan,"617,613,750"
2013,Kota Administrasi Jakarta Selatan,Tunjangan Khusus (PPh)/Tunjangan PPh,"19,826,953,290"
2013,DINAS OLAH RAGA Dan PEMUDA,Tunjangan Kinerja,"21,737,674,000"
2013,"DINAS KOPERASI, USAHA MIKRO, KECIL DAN MENENGAH, DAN PERDAGANGAN",Tunjangan Khusus (PPh)/Tunjangan PPh,"6,574,348,691"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Pembulatan Gaji,"175,202"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Tunjangan Keluarga,"981,137,432"
2013,"BADAN PEMBERDAYAAN MASYARAKAT, PEREMPUAN DAN KB",Tunjangan Umum,"980,187,000"
2013,SEKRETARIAT DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"14,536,067,143"
2013,Kabupaten Administrasi Kepulauan Seribu - Kep. Seribu,Tunjangan Umum,"406,012,750"
2013,DINAS PERUMAHAN DAN GEDUNG PEMDA,Pembulatan Gaji,"238,406"
2013,SATPOL PP,Tunjangan Umum,"10,308,619,750"
2013,SEKRETARIAT DAERAH,Tunjangan Beras,"2,291,199,360"
2013,DINAS KESEHATAN,Tunjangan Khusus (PPh)/Tunjangan PPh,"58,040,159,267"
2013,DINAS PEKERJAAN UMUM,Tunjangan Beras,"2,701,018,793"
2013,BADAN KESATUAN BANGSA Dan POLITIK,Gaji Pokok,"5,299,697,324"
2013,DINAS SOSIAL,Tunjangan Jabatan,"1,844,579,750"
2013,DINAS KEBERSIHAN,Gaji Pokok,"49,369,659,439"
2013,SEKRETARIAT DPRD,Tunjangan Umum,"366,344,225"
2013,INSPEKTORAT,Pembulatan Gaji,"241,972"
2013,BADAN PENGELOLA KEUANGAN DAERAH,Tunjangan Khusus (PPh)/Tunjangan PPh,"8,473,356,057"
2013,DINAS PERHUBUNGAN,Tunjangan Beras,"3,520,911,120"
2013,Sekretariat Dewan Pengurus KORPRI Provinsi,Biaya Kematian Pegawai Negeri Sipil Daerah,"27,829,500,000"
2013,Kota Administrasi Jakarta Utara,Tunjangan Kinerja,"47,000,131,438"
2013,DINAS PEMADAM KEBAKARAN Dan PENANGGULANGAN BENCANA,Tunjangan Khusus (PPh)/Tunjangan PPh,"21,001,906,377"
2013,SEKRETARIAT DAERAH,Iuran Asuransi Kesehatan,"62,000,000,000"
2013,Kota Administrasi Jakarta Barat,Tunjangan Fungsional,"3,664,375"
2013,BLUD RS Budhi Asih,Tunjangan Khusus (PPh)/Tunjangan PPh,"2,644,267,031"
2013,BLUD RS Duren Sawit,Tunjangan Keluarga,"531,187,800"
2013,DPRD Provinsi,Tunjangan Badan Kehormatan ,"16,443,000"
2013,BLUD RS Tarakan,Gaji Pokok,"8,926,111,745"
2013,BADAN PENDIDIKAN Dan PELATIHAN,Tunjangan Jabatan,"189,614,750"
2013,Kota Administrasi Jakarta Utara,Tunjangan Beras,"1,403,166,300"
2013,Badan Penanggulangan Bencana Daerah,Gaji Pokok,"809,702,286"
2013,Kota Administrasi Jakarta Timur,Tunjangan Keluarga,"5,208,106,872"
2013,DINAS PENDIDIKAN,Tunjangan Jabatan,"3,791,828,625"
2013,DINAS PARIWISATA DAN KEBUDAYAAN,Gaji Pokok,"28,523,575,616"
2013,DINAS PELAYANAN PAJAK,Tunjangan Jabatan,"2,614,764,750"
2013,DINAS TATA RUANG DAN PERTANAHAN,Tunjangan Jabatan,"977,388,750"
2013,SEKRETARIAT DAERAH,Pembulatan Gaji,"735,053"
2013,Kota Administrasi Jakarta Selatan,Pembulatan Gaji,"891,988"
2013,Kota Administrasi Jakarta Pusat,Pembulatan Gaji,"583,582"
2013,DINAS KEBERSIHAN,Tunjangan Jabatan,"1,024,892,375"
